日期,产品名称,总成交金额,受托资产,交易盈利,年化收益率,换手率
2026/04/20,东方吾执量选二号,16476135.23,15032049.00,-3929.94,-6.54%,109.61%
2026/04/20,东吴吾执多元量选,3509940.12,4749591.00,1079.40,5.68%,73.90%
2026/04/21,东方吾执量选二号,15744773.81,14900199.00,2892.32,4.85%,105.67%
2026/04/21,东吴吾执多元量选,3917802.58,5708868.00,430.95,1.89%,68.63%
2026/04/21,东吴吾执多元一号,7641221.07,17390290.00,-4780.84,-6.87%,43.94%
2026/04/22,东方吾执量选二号,15760969.87,17945125.00,1710.75,2.38%,87.83%
2026/04/22,东吴吾执多元量选,3531879.51,5981271.00,-693.34,-2.90%,59.05%
2026/04/22,东吴吾执多元一号,9193993.91,16476951.00,-1141.91,-1.73%,55.80%
2026/04/24,东方吾执量选二号,18579512.61,16311939.00,-1637.40,-2.51%,113.90%
2026/04/24,东吴吾执多元量选,4610019.18,5542021.00,202.98,0.92%,83.18%
