表名,中文表名,数据周期,中文描述,数据公布时间,更新频率,表状态
idx_cons_citic,中信指数成分,全量传输,获取中信证券发布的指数的成分构成情况，包括指数内部编码、成分券内部编码、纳入日期、剔除日期等，当前提供中信行业指数成分。,不定时,不定期,正式
csi_idxm_wt_ashare,中证A股月度权重,全量传输,获取中证A股指数及三板指数，SAC指数的成分股月度权重信息，包括指数内部代码、成分股内部代码、权重生效日及成分股权重。,不定时,月,正式
mkt_idxd,指数日行情,全量传输,获取指数的日度收盘信息，包含昨收价、开盘价、最高价、最低价、收盘价、成交量、成交金额等字段。沪深重要指数的更新时间为15:30，其他指数因发布机构不同会陆续更新。成交量单位：股票指数——股，基金指数——份，债券指数——万元。,15:30,日,正式
mkt_idxd_citic,中信指数日行情,全量传输,获取中信证券发布的指数的日度收盘信息，包含开盘点位、最高点位、最低点位、收盘点位、成交量、成交金额等字段。,18:15,日,正式
idx_cons,指数成分,全量传输,获取指数的成分构成情况，包括指数内部编码、成分券内部编码、纳入日期、剔除日期等。,不定时,不定期,正式
idx_weight,指数月度权重,全量传输,获取指数成分股权重，包括成分股名称、成分股代码、权重生效日、成分股权重等。其中，中债指数按日更新，上证、中证、深证等股票指数按月更新。,"09:00,22:40",日,正式
vw_fdmt_is_new,(新准则)合并利润表 (Point in time),null-null,"1、根据2018年新会计准则制定的合并利润表模板，收集了2007年以来沪深京上市公司定期报告中各个会计期间的利润表数据。
2、收集合并报表、母公司报表数据，包括本期和上期数据；
3、如果上市公司对外财务报表进行更正、调整，均有采集并对外展示；
4、本表中单位为人民币元；
5、每季更新。",不定时,季,正式
vw_fdmt_cf_new,(新准则)合并现金流量表 (Point in time),null-null,"1、根据2018年新会计准则制定的合并现金流量表模板，收集了2007年以来沪深京上市公司定期报告中各个会计期间的现金流量表数据。
2、收集合并报表、母公司报表数据，包括本期和上期数据；
3、如果上市公司对外财务报表进行更正、调整，均有采集并对外展示；
4、本表中单位为人民币元；
5、每季更新。",不定时,季,正式
vw_fdmt_bs_new,(新准则)合并资产负债表 (Point in time),null-null,"1、根据2018年新会计准则制定的合并资产负债表模板，收集了2007年以来沪深京上市公司定期报告中各个会计期间的资产负债表数据。
2、收集合并报表、母公司报表数据，包括期末和期初数据； 
3、如果上市公司对外财务报表进行更正、调整，均有采集并对外展示；
4、本表中单位为人民币元； 
5、每季更新。",不定时,季,正式
sys_code,参数集合,全量传输,对股票、债券、基金等模块参数信息的介绍，包括中英文名称等。,不定时,不定期,正式
